SNO,RANK,ARNO,NAME,SEX,NEETNO,COM,MARKS,COLLEGENAME,QUOTA,COLLEGETYPE,FEES,COURSE,Year
1,27,3903,ASHFAQ SULAIMAN A,M,80078691,BCM,594,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
2,30,211,A.SAMYUKTHA,F,80934693,OC,590,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
3,32,50032,ARUSHI AGARWAL,F,80462392,OC,587,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
4,45,452,ADHITHYA.M,M,80136792,MBC/DNC,577,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
5,46,24946,KATYAYANI GOSWAMI,F,80686311,OC,575,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
6,47,2937,JOHN NIRMAL M,M,80075041,BC,575,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
7,49,14254,SWETHA.M,F,80071861,MBC/DNC,572,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
8,53,345,NITHILA.S,F,80002374,BC,567,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
9,57,10634,ARAVIND.C,M,80075983,BC,565,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
10,59,51079,ALAGAPPAN.M,M,80155095,OC,562,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
11,61,36,SAILESH I S K,M,80201559,BC,560,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
12,62,12466,ASHWIN KUMAR.K,M,80452267,MBC/DNC,560,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
13,64,15959,GOKUL.C,M,80761004,MBC/DNC,557,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
14,65,23864,KARTHICK.M,M,80638451,MBC/DNC,557,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
15,66,531,JANHAVI.A,F,80119735,OC,557,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
16,67,1356,CHETAN,M,80094306,OC,557,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
17,68,25069,PRIYAMVADHA.S,F,80618835,OC,556,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
18,69,65,KARTHIC.R,M,80076482,BC,555,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
19,70,2504,KAVINKUMAR T,M,80207757,BC,555,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
20,71,725,SAI SRUTHI S,F,80352563,BC,555,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
21,72,19668,A BATHOOL,F,80562052,BCM,554,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
22,73,3627,SHANKAR.S.,M,80545966,BC,554,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
23,74,2686,AADHITHYA RAAJ.P,M,80001577,MBC/DNC,553,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
24,75,4495,ANUPAMA.RAVICHANDRAN,F,80205382,OC,553,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
25,77,3426,VIKRAM SHILIGE,M,80125620,OC,552,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
26,78,18823,KRITIKHA.R,F,80403970,BC,551,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
27,79,2997,DIVYA SHREE N S,F,80308914,BC,551,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
28,80,2701,NAVIN J,M,80358356,BC,550,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
29,81,21535,SOUNDHARYA.V,F,80134148,BC,550,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
30,82,8415,CHARU NEVETHA P D,F,80285617,BC,549,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
31,83,3669,AARUSHI.V,F,80010716,OC,549,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
32,84,7642,BANU PRIYA V M,F,80279836,BC,549,"MADRAS MEDICAL COLLEGE, CHENNAI",GOVT,GOVT,13600,MBBS,2017
